"State Name","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"NH","7.43","8.29","10.01","10.7","10.65","14.49","14.01","11.43","8.07","18.28","10.94","10.95"
"MH","13.56","12.05","12.0","18.65","18.14","22.13","25.1","24.42","28.07","37.09","35.05","22.52"
"TX","5.55","4.45","7.9","6.1","8.41","7.06","9.94","6.8","9.11","8.05","3.65","4.05"
"FM","27.13","23.68","23.12","30.9","32.8","30.61","38.77","31.61","39.06","29.24","29.67","32.05"
"PW","30.92","17.35","17.39","24.75","34.47","35.99","46.85","32.41","39.79","30.22","34.06","31.5"
"ID","4.15","2.56","3.83","4.12","4.28","4.82","0.8","1.45","1.88","3.88","4.63","5.8"
"MP","12.65","7.9","10.34","6.6","7.71","13.0","23.14","28.09","31.8","27.9","14.11","8.44"
"FL","5.35","7.19","7.74","7.33","9.76","18.07","18.33","20.18","14.48","8.56","4.8","6.7"
"UT","3.44","2.49","2.94","3.18","2.8","2.44","1.4","2.25","2.29","3.74","1.91","4.45"
"RI","10.91","9.64","16.3","11.87","9.83","11.38","10.07","8.68","9.71","15.98","12.15","12.37"
"CO","2.02","1.57","2.77","4.13","3.74","3.79","5.29","5.94","3.18","3.95","1.26","2.96"
"PA","8.86","6.28","8.16","8.8","8.57","11.46","11.41","10.15","8.16","11.76","8.16","9.72"
"PR","10.69","5.39","9.58","17.42","20.0","17.24","17.32","19.3","21.76","26.66","15.5","11.86"
"OR","14.44","8.38","11.15","8.08","7.33","4.61","0.81","1.22","2.86","8.12","16.82","19.21"
"WY","1.09","0.98","2.08","3.35","5.94","4.07","2.71","2.73","2.08","3.07","1.2","1.63"
"MD","7.33","6.1","7.68","9.96","10.36","11.74","9.5","8.7","10.36","12.34","8.71","10.11"
"NM","2.04","1.73","2.03","1.66","2.87","2.86","6.95","6.86","4.42","2.9","0.58","2.21"
"HI","13.12","13.44","20.39","9.91","7.14","6.3","8.75","7.79","9.38","12.24","14.08","17.37"
"NY","7.79","6.61","8.15","8.41","6.81","12.02","12.1","10.25","8.67","14.28","8.37","9.42"
"MI","6.02","4.7","4.65","7.05","7.46","9.76","8.25","8.07","9.35","8.14","5.85","6.81"
"KS","1.77","2.38","5.48","7.66","10.88","13.02","9.07","9.66","7.13","7.33","2.11","3.59"
"MN","1.79","2.09","4.12","6.34","7.56","10.73","7.36","10.77","9.9","8.76","3.23","4.0"
"WV","9.15","5.95","8.54","9.88","10.71","10.78","12.77","9.09","6.6","8.61","7.02","9.88"
"AR","10.68","7.94","12.29","12.84","13.65","8.1","11.15","8.67","14.92","12.61","7.85","11.0"
"IA","2.64","3.16","5.89","10.94","10.78","14.3","11.55","13.8","9.09","7.82","3.64","5.11"
"NV","2.45","2.1","1.69","2.05","1.52","1.52","0.87","0.67","0.69","2.1","1.32","3.05"
"WA","16.55","7.37","10.12","6.85","6.32","4.75","1.72","2.23","4.26","8.77","18.15","15.79"
"AL","11.78","11.87","12.02","11.14","11.81","8.47","13.26","13.99","8.93","9.45","9.99","13.2"
"NE","1.15","1.82","4.27","7.84","9.42","12.2","7.32","9.61","6.04","7.07","1.5","3.05"
"VI","7.57","2.65","4.12","7.61","8.82","10.82","10.95","12.25","14.72","24.73","12.58","5.71"
"AZ","4.14","3.21","1.85","0.73","0.75","0.51","5.49","5.07","1.99","1.64","0.81","3.11"
"CA","11.18","10.33","6.19","4.74","2.42","0.58","0.17","0.17","0.42","3.6","4.29","11.89"
"AS","59.24","45.53","31.29","26.9","40.96","24.96","25.61","25.56","37.6","30.32","42.45","51.39"
"NJ","9.11","7.15","9.71","12.13","8.22","12.33","11.31","10.21","9.14","16.17","9.08","12.67"
"SC","8.33","7.84","9.55","6.98","8.29","12.19","10.68","12.13","7.89","8.79","8.36","11.83"
"GA","9.81","9.76","11.14","9.26","8.41","10.43","12.52","13.49","8.76","9.39","7.76","12.7"
"MT","1.58","1.24","2.11","4.18","6.91","6.83","2.69","2.99","3.4","3.45","2.3","2.0"
"KY","11.0","6.93","9.46","11.38","12.22","9.4","12.52","8.32","8.16","9.81","7.83","11.0"
"MS","11.87","11.3","10.01","11.38","12.47","6.96","13.36","11.68","11.05","11.28","8.51","13.94"
"DE","8.13","6.02","7.27","10.98","8.33","13.63","11.28","7.46","10.28","14.26","9.72","11.1"
"TN","12.01","8.14","10.02","12.55","13.14","8.28","12.37","9.03","9.12","9.25","8.98","11.87"
"AK","8.5","7.08","7.63","6.35","5.53","6.18","9.08","10.08","13.1","14.1","10.51","9.16"
"OH","9.01","6.05","9.04","8.54","9.37","10.99","10.39","8.94","7.62","8.46","6.99","7.96"
"LA","10.97","11.68","8.61","9.25","10.37","8.71","14.78","12.94","13.41","12.84","8.63","15.01"
"SD","1.0","1.63","3.5","5.59","7.98","9.85","5.9","7.02","6.0","5.46","1.23","2.24"
"NC","8.28","6.83","9.51","8.39","9.06","11.3","11.58","11.41","11.71","9.1","9.74","11.22"
"VA","7.75","5.03","8.41","8.79","9.72","10.35","9.95","9.35","9.65","10.41","9.17","9.93"
"GU","11.87","8.52","6.54","5.7","9.17","13.26","30.9","37.75","32.85","31.33","16.6","10.87"
"MO","6.18","5.73","9.68","11.27","12.52","12.68","11.08","10.03","12.88","9.0","6.46","6.32"
"MA","9.76","8.9","13.23","10.6","11.38","11.44","12.08","8.85","8.9","14.84","10.88","11.53"
"WI","3.06","2.95","4.32","8.05","8.13","11.05","10.27","10.99","8.31","7.93","3.75","5.29"
"ME","7.57","8.02","9.81","12.31","9.9","13.79","11.49","10.39","9.51","17.14","14.64","12.0"
"OK","4.12","3.37","7.11","7.79","11.56","12.62","8.47","10.58","7.65","8.36","2.26","4.07"
"IL","6.85","5.51","8.48","9.92","9.87","11.32","11.19","9.84","8.97","8.69","6.53","7.79"
"CT","9.2","9.12","11.24","12.45","8.92","13.29","12.08","9.71","8.89","15.88","9.39","12.51"
"IN","9.56","6.69","10.07","10.22","10.94","12.81","10.53","9.47","8.08","8.5","7.86","9.43"
"VT","7.16","7.22","7.64","8.73","9.31","13.75","14.66","10.99","7.69","16.6","9.18","10.33"
"ND","1.1","1.24","2.43","2.78","7.63","9.99","5.26","5.77","5.15","4.12","1.62","2.14"
