"State Name","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"NH","-1.3","-0.25","4.81","13.45","18.34","23.49","26.28","25.26","21.48","13.74","8.02","0.64"
"MH","30.01","30.02","30.16","30.23","30.32","30.21","30.21","30.37","30.35","30.25","30.1","30.02"
"TX","15.9","17.57","22.15","25.94","29.67","33.89","34.07","34.74","31.2","26.65","22.06","16.06"
"FM","30.53","30.7","30.81","30.9","30.93","31.11","31.03","31.31","31.2","31.34","31.12","30.8"
"PW","30.68","30.92","31.2","31.5","31.2","31.23","30.32","30.2","30.52","30.75","31.25","31.08"
"ID","0.95","3.84","8.65","13.56","19.36","23.77","31.09","29.09","23.76","14.92","7.06","0.27"
"MP","28.35","28.3","28.9","29.25","29.85","30.05","29.45","28.75","28.85","29.15","29.1","28.8"
"FL","21.47","21.77","24.48","27.41","30.35","32.32","32.78","32.95","31.79","28.92","24.77","22.14"
"UT","2.57","5.92","10.96","15.99","21.92","27.67","32.97","30.42","25.61","17.3","10.85","2.59"
"RI","3.23","3.98","8.42","15.12","19.25","24.42","27.7","27.32","23.53","16.95","11.65","5.22"
"CO","3.9","5.66","10.74","15.32","20.91","26.78","30.43","28.19","24.18","16.95","11.43","3.4"
"PA","2.99","2.67","9.06","17.17","21.46","26.67","28.4","27.86","24.08","17.0","11.22","3.77"
"PR","28.18","28.68","29.38","29.79","30.51","31.27","31.54","31.64","31.54","30.97","29.86","28.59"
"OR","6.28","9.08","11.82","14.6","19.57","22.77","29.28","28.03","24.23","16.65","9.89","5.06"
"WY","0.72","2.7","8.41","12.84","18.11","24.36","30.33","28.24","22.68","14.44","8.17","-0.35"
"MD","6.3","6.23","12.08","18.81","22.78","28.18","30.16","29.81","25.94","19.55","13.65","7.09"
"NM","9.44","11.81","15.73","20.49","25.35","30.91","31.33","29.89","26.52","21.16","16.06","9.4"
"HI","24.89","24.53","24.91","25.45","26.76","27.63","28.0","28.35","28.19","27.58","26.51","25.46"
"NY","0.64","0.64","6.07","14.86","19.63","25.01","27.03","26.26","22.35","15.12","9.57","2.08"
"MI","-1.62","-1.27","5.46","13.77","18.96","24.63","26.53","26.02","21.85","14.33","7.68","-0.46"
"KS","5.78","7.77","14.71","19.68","24.67","30.5","32.7","32.16","27.16","20.42","14.75","5.51"
"MN","-5.84","-4.13","4.29","13.99","19.59","24.8","27.68","26.11","21.56","13.59","5.62","-4.94"
"WV","5.24","4.83","11.84","19.35","22.61","27.33","28.2","28.8","25.35","18.56","12.97","5.59"
"AR","10.47","11.63","18.22","22.75","26.81","31.72","32.55","33.58","28.98","22.96","17.66","10.87"
"IA","-2.24","-0.31","8.34","16.66","22.04","27.43","29.05","28.0","24.21","16.87","9.62","-1.38"
"NV","6.52","9.46","13.59","17.3","23.42","28.79","34.77","32.58","28.03","19.77","13.79","6.34"
