,Expense_ranking,Education_ranking,GreenSpace_ranking,Crime_ranking,HealthFund_ranking,Incomes_ranking
Massachusetts,1,50,38,22,42,50
New Hampshire,2,43,44,48,21,44
Connecticut,3,45,29,42,23,49
New Jersey,4,47,26,39,13,48
Alaska,5,23,2,1,50,37
Colorado,6,48,16,27,30,43
New York,7,42,36,21,44,47
California,8,35,48,16,39,46
Washington,9,41,50,31,29,45
Delaware,10,33,42,9,34,26
Vermont,11,49,43,49,47,31
Florida,12,25,45,15,12,32
Maine,13,34,46,50,32,22
Illinois,14,39,6,18,14,40
Hawaii,15,31,49,38,48,28
Pennsylvania,16,27,25,28,10,33
Maryland,17,46,37,11,31,42
Minnesota,18,40,40,40,18,38
Virginia,19,44,32,47,15,39
North Dakota,20,20,4,36,40,36
Montana,21,29,11,26,41,20
Wyoming,22,10,10,46,36,41
Oregon,23,36,41,37,20,30
South Dakota,24,17,30,19,35,35
Rhode Island,25,37,47,41,43,34
Nebraska,26,26,19,33,27,29
Michigan,27,18,39,14,7,16
Wisconsin,28,22,33,32,3,24
Texas,29,24,15,17,6,25
Missouri,30,19,28,8,9,11
Arizona,31,21,13,12,4,12
Nevada,32,7,35,4,1,27
Ohio,33,14,15,30,5,19
North Carolina,34,30,22,25,8,15
Georgia,35,28,27,23,17,13
South Carolina,36,16,18,7,19,8
Kansas,37,32,7,20,11,23
Indiana,38,9,5,24,2,17
Utah,39,38,8,43,16,14
Tennessee,40,12,31,3,28,18
Louisiana,41,4,1,5,25,10
Iowa,42,13,24,34,37,21
West Virginia,43,1,17,29,45,2
Kentucky,44,5,23,44,24,6
New Mexico,45,11,12,2,49,4
Idaho,46,15,34,45,46,7
Alabama,47,6,20,10,38,3
Arkansas,48,3,21,6,33,5
Oklahoma,49,8,3,13,26,9
Mississippi,50,2,9,35,22,1
